Rank,start_station,end_station,line_y,line_x,climate_pass,avg_cum_passenger
275,보문,성신여대입구,우이신설경전철,우이신설경전철,O,63081.59090909091
276,암사역사공원,장자호수공원,08호선,08호선,O,63049.0
277,선유도,신목동,09호선,09호선,O,62703.57142857143
278,목동,신정,05호선,05호선,O,62575.59090909091
279,김포공항,송정,05호선,05호선,O,62316.5
280,검암,계양,공항철도,공항철도,X,62052.5
281,광화문,종로3가,05호선,05호선,O,61918.28571428572
282,계산,임학,인천1호선,인천1호선,X,61733.75
283,도봉산,망월사,01호선,01호선,X,61723.13636363636
284,가락시장,경찰병원,03호선,03호선,O,61667.0
285,능곡,대곡,경의선,경의선,O,61633.25
286,고덕,상일동,05호선,05호선,O,61572.27272727273
287,봉은사,삼성중앙,09호선,09호선,O,61179.54545454546
288,신목동,염창,09호선,09호선,O,61152.4
289,동묘앞,신설동,01호선,01호선,O,61124.09090909091
290,디지털미디어시티,월드컵경기장,06호선,06호선,O,61068.0
291,동대문역사문화공원,청구,05호선,05호선,O,60712.72727272727
292,대림,신풍,07호선,07호선,O,60708.09090909091
293,마곡나루,양천향교,09호선,09호선,O,60183.38888888889
294,소사,역곡,05호선,01호선,X,59897.31578947369
295,을지로4가,종로3가,05호선,05호선,O,59817.25
296,노들,흑석,09호선,09호선,O,59781.45
297,보문,안암,06호선,06호선,O,59395.47619047619
298,동작,흑석,09호선,09호선,O,59356.35
299,경인교대입구,계산,인천1호선,인천1호선,X,58876.0
300,서울역,연신내,GTX-A,GTX-A,X,58668.0
301,노들,노량진,09호선,09호선,O,58619.66666666666
302,가양,양천향교,09호선,09호선,O,58520.15384615384
303,까치산,신정,05호선,05호선,O,58440.47368421053
304,삼각지,신용산,04호선,04호선,O,58022.68421052631
305,먹골,중화,07호선,07호선,O,57239.04761904762
306,구리,장자호수공원,08호선,08호선,O,56882.4
307,석계,태릉입구,06호선,06호선,O,56215.77272727273
308,망월사,회룡,01호선,01호선,X,56027.77272727273
309,신용산,이촌,04호선,04호선,O,55692.52941176471
310,가천대,복정,수인분당선,수인분당선,X,55625.41666666666
311,구파발,지축,03호선,03호선,O,55573.5
312,고속터미널,신반포,09호선,09호선,O,52887.75
313,경인교대입구,작전,인천1호선,인천1호선,X,52472.5
314,구반포,동작,09호선,09호선,O,52375.0
315,먹골,태릉입구,07호선,07호선,O,51542.0
316,대치,도곡,03호선,03호선,O,51173.5
317,구반포,신반포,09호선,09호선,O,50519.33333333334
318,금정,범계,04호선,04호선,X,50437.64285714286
319,신촌,이대,02호선,02호선,O,49218.75
320,망원,합정,06호선,06호선,O,49056.0
321,공덕,서울역,공항철도,공항철도,O,48720.0
322,삼송,지축,03호선,03호선,O,48259.5
323,중계,하계,07호선,07호선,O,47800.57142857143
324,녹사평,삼각지,06호선,06호선,O,47570.22222222222
325,성수,용답,02-1호선,02-1호선,O,46229.72727272727
326,녹사평,이태원,06호선,06호선,O,40876.0
327,군포,금정,01-1호선,01-1호선,X,40747.57142857143
328,군포,당정,01-1호선,01-1호선,X,39410.71428571428
329,용산,효창공원앞,06호선,경의선,O,38128.85714285714
330,당정,의왕,01-1호선,01-1호선,X,37980.42857142857
331,성균관대,의왕,01-1호선,01-1호선,X,36525.28571428572
332,신답,용답,02-1호선,02-1호선,O,36490.0
333,갈산,작전,인천1호선,인천1호선,X,35830.0
