조사년도,학교명,시도명,지역명,학제유형명,고등교육학교_입학생수,6학년재적학생수,5학년재적학생수,4학년재적학생수,3학년재적학생수,2학년재적학생수,1학년재적학생수
2010,전북대학교,전북,전북 전주시,대학,4328,0,26,6635,5898,8581,5073
2010,중앙대학교,경기,경기 안성시,대학,1971,0,18,3919,3498,3291,2740
2010,중앙대학교,서울,서울 동작구,대학,2994,0,51,5654,5133,5079,4131
2010,홍익대학교,서울,서울 마포구,대학,2734,0,175,4804,3683,4510,3618
2010,홍익대학교,충남,충남 연기군,대학,1572,0,60,2786,2183,2558,2074
2010,신경대학교,경기,경기 화성시,대학,336,0,0,25,61,189,525
2010,경운대학교,경북,경북 구미시,산업대학,1516,0,0,811,1483,2358,2573
2010,전주교육대학교,전북,전북 전주시,교육대학,392,0,0,438,398,417,408
2010,영산대학교(산업대),경남,경남 양산시,산업대학,0,0,0,559,284,95,13
2010,영산대학교(산업대),부산,부산 해운대구,산업대학,0,0,0,533,209,87,9
2010,광운대학교,서울,서울 노원구,대학,1963,0,41,3716,2781,3684,2814
2010,추계예술대학교,서울,서울 서대문구,대학,309,0,0,452,395,409,354
2010,광신대학교,광주,광주 북구,대학,128,0,0,130,169,74,145
2010,을지대학교,경기,경기 성남시,대학,1111,0,0,1186,1588,1657,1242
2010,을지대학교,대전,대전 중구,대학,207,0,0,245,234,279,273
2010,동의대학교,부산,부산 부산진구,대학,4386,0,54,5493,5006,8810,5759
2010,경인교육대학교,경기,경기 안양시,교육대학,393,0,0,460,436,425,417
2010,경인교육대학교,인천,인천 계양구,교육대학,376,0,0,502,449,433,391
2010,안양대학교,경기,경기 안양시,대학,1237,0,0,1681,1564,2081,1438
2010,안양대학교,인천,인천 강화군,대학,141,0,0,149,182,234,171
2010,대구교육대학교,대구,대구 남구,교육대학,529,0,0,584,555,568,538
2010,한려대학교,전남,전남 광양시,산업대학,383,0,0,288,295,363,442
2010,정석대학,서울,서울 강서구,기술대학(대학과정),55,0,0,59,62,0,0
2010,정석대학,서울,서울 강서구,기술대학(전문대학과정),15,0,0,0,0,16,18
2010,서남대학교,전북,전북 남원시,대학,661,0,0,356,387,457,1079
2010,서남대학교,충남,충남 아산시,대학,742,0,0,137,149,353,1143
2010,공주대학교,충남,충남 공주시,대학,3443,0,32,4429,4682,6068,3875
2010,동명대학교,부산,부산 남구,대학,2464,0,0,1110,1572,4423,3704
