,학교_식별자,시군구별,매칭된 행정구역,인구 수,2023,회귀계수,학생 비
612,덕정고등학교 (경기),양주시,경기도 남양주시,732265.0,769,-0.02324617346938775,0.0010501662649450678
613,덕현고등학교 (경기),양주시,경기도 남양주시,732265.0,981,0.04217750533049041,0.0013396789413668549
614,데레사여자고등학교 (부산),부산광역시 동구,부산광역시 동구,87792.0,503,-0.04422925420168067,0.0057294514306542735
615,도개고등학교 (경북),구미시,경상북도 구미시,405506.0,364,-0.018552160748692544,0.0008976439312858502
616,도계고등학교 (강원),삼척시,강원도 삼척시,62651.0,114,-0.04970767666497204,0.0018196038371294952
617,도계전산정보고등학교 (강원),삼척시,강원도 삼척시,62651.0,27,-0.04766156462585033,0.0004309588035306699
618,도농고등학교 (경기),남양주시,경기도 남양주시,732265.0,864,-0.02266194766194766,0.0011799007190020007
619,도담고등학교 (세종),세종특별자치시,,,617,0.09072123176661263,
620,도당고등학교 (경기),부천시,경기도 부천시,779968.0,668,-0.04617216117216118,0.0008564453926314926
621,도래울고등학교 (경기),덕양구,경기도 고양시 덕양구,496438.0,651,0.09236666666666667,0.0013113420004109274
622,도림고등학교 (인천),인천광역시 남동구,인천광역시 남동구,492415.0,763,-0.013879174680888269,0.00154950600611273
623,도선고등학교 (서울),서울특별시 성동구,서울특별시 성동구,277361.0,477,0.09103571428571429,0.0017197803584498182
624,도원고등학교 (대구),대구광역시 달서구,대구광역시 달서구,527781.0,560,-0.04629067843353557,0.001061046153612957
625,도초고등학교 (전남),신안군,전라남도 신안군,38037.0,160,0.016206349206349207,0.004206430580750322
626,독산고등학교 (서울),서울특별시 금천구,서울특별시 금천구,227481.0,596,-0.04677714285714286,0.002619999032886263
627,돌마고등학교 (경기),분당구,경기도 성남시 분당구,472957.0,689,-0.033354540196645466,0.0014567920550916892
628,동계고등학교 (전북),순창군,전라북도 순창군,26764.0,24,-0.047346938775510196,0.0008967269466447467
629,동광고등학교 (경기),중원구,경기도 성남시 중원구,210848.0,605,-0.04921164342025469,0.0028693656093489147
630,동광산업과학고등학교 (강원),nan,,,122,-0.0511052457934675,
631,동국대학교사범대학부속고등학교 (서울),서울특별시 동대문구,서울특별시 동대문구,341149.0,922,-0.03262560929883764,0.0027026314015283644
632,동국대학교사범대학부속금산고등학교 (전북),김제시,전라북도 김제시,81430.0,59,-0.054761904761904755,0.0007245486921282083
633,동국대학교사범대학부속여자고등학교 (서울),서울특별시 광진구,서울특별시 광진구,335554.0,635,-0.046518038495018864,0.0018923928786424838
634,동국대학교사범대학부속영석고등학교 (경기),의정부시,경기도 의정부시,464213.0,780,0.021793701506161573,0.001680263155060285
635,동남고등학교 (경기),포천시,경기도 포천시,143323.0,680,-0.026438492063492063,0.004744528093885838
636,동대전고등학교 (대전),대전광역시 대덕구,대전광역시 대덕구,169853.0,898,-0.035589015523678526,0.005286924575956857
637,동덕여자고등학교 (서울),서울특별시 서초구,서울특별시 서초구,407664.0,870,-0.03834079713390058,0.0021341104438949723
638,동두천고등학교 (경기),동두천시,경기도 동두천시,88626.0,383,-0.02572992700729927,0.004321530927718728
639,동두천외국어고등학교 (경기),동두천시,경기도 동두천시,88626.0,456,-0.02233230233906824,0.005145216979216031
640,동두천중앙고등학교 (경기),동두천시,경기도 동두천시,88626.0,468,-0.021984972417728742,0.005280617426037506
641,동래고등학교 (부산),부산광역시 동래구,부산광역시 동래구,270815.0,944,-0.04525195199537304,0.003485774421653158
642,동래여자고등학교 (부산),부산광역시 금정구,부산광역시 금정구,215590.0,427,-0.039805387633895434,0.001980611345609722
643,동래원예고등학교 (부산),부산광역시 동래구,부산광역시 동래구,270815.0,433,-0.022321428571428572,0.0015988774624743829
644,동명고등학교 (경북),칠곡군,경상북도 칠곡군,110581.0,56,-0.042578125,0.0005064161112668541
645,동명고등학교 (광주),광주광역시 광산구,광주광역시 광산구,396741.0,204,0.016779811097992918,0.0005141893577926154
646,동명공업고등학교 (부산),부산광역시 남구,부산광역시 남구,254185.0,301,-0.04740361625821876,0.0011841768790447902
647,동명생활경영고등학교 (서울),서울특별시 은평구,서울특별시 은평구,466770.0,217,-0.006792389853137518,0.0004648970585084731
648,동명여자고등학교 (서울),서울특별시 은평구,서울특별시 은평구,466770.0,857,-0.034090513868359276,0.0018360220236947533
649,동문고등학교 (대구),대구광역시 수성구,대구광역시 수성구,407331.0,735,-0.04206405334410992,0.0018044293216082253
650,동방고등학교 (대전),대전광역시 서구,대전광역시 서구,464634.0,745,-0.031397541981017275,0.0016034125785026495
651,동백고등학교 (경기),기흥구,경기도 용인시 기흥구,436656.0,935,-0.01714904143475572,0.002141273679967755
652,동북고등학교 (서울),서울특별시 강동구,서울특별시 강동구,459167.0,959,-0.04215767784846732,0.0020885647269947537
653,동산고등학교 (인천),인천광역시 동구,인천광역시 동구,59482.0,498,-0.0358942889870725,0.008372280689956626
654,동성고등학교 (서울),서울특별시 종로구,서울특별시 종로구,139417.0,568,-0.033685545224006776,0.004074108609423528
655,동성고등학교 (충북),음성군,충청북도 음성군,91183.0,189,0.024999999999999998,0.0020727547898182776
656,동아고등학교 (부산),부산광역시 사하구,부산광역시 사하구,297831.0,650,-0.04233330373790287,0.0021824457494350824
657,동아공업고등학교 (부산),부산광역시 사하구,부산광역시 사하구,297831.0,345,-0.04624431550885996,0.001158375051623236
658,동아마이스터고등학교 (대전),대전광역시 동구,대전광역시 동구,217628.0,528,-0.023727984344422706,0.002426158398735457
659,동아여자고등학교 (광주),광주광역시 남구,광주광역시 남구,209646.0,628,-0.048553021781368236,0.002995525791095466
660,동안고등학교 (경기),동안구,경기도 안양시 동안구,313996.0,1019,-0.03824595543345544,0.003245264270882432
661,동암고등학교 (전북),완산구,전라북도 전주시 완산구,327178.0,738,-0.029253826530612242,0.0022556528861965046
662,동양고등학교 (서울),서울특별시 강서구,서울특별시 강서구,563058.0,478,0.019184576485461437,0.0008489356336292176
663,동우여자고등학교 (경기),장안구,경기도 수원시 장안구,270849.0,767,-0.044358338499690016,0.002831836189168134
664,동원고등학교 (경기),장안구,경기도 수원시 장안구,270849.0,809,-0.04596550431196101,0.002986904142160392
665,동원고등학교 (경남),통영시,경상남도 통영시,120551.0,829,-0.010178074937111084,0.006876757554893779
666,동인고등학교 (부산),부산광역시 동래구,부산광역시 동래구,270815.0,699,-0.04192677070828331,0.0025810977973893616
667,동인천고등학교 (인천),인천광역시 남동구,인천광역시 남동구,492415.0,662,-0.04153626114756857,0.0013443944640191708
668,동일공업고등학교 (경기),평택시,경기도 평택시,591022.0,793,-0.01834227910817507,0.0013417436237568145
669,동일미래과학고등학교 (광주),광주광역시 남구,광주광역시 남구,209646.0,599,-0.04608973658323314,0.0028571973708060253
670,동일여자고등학교 (서울),서울특별시 금천구,서울특별시 금천구,227481.0,622,-0.048169950738916244,0.0027342942927101603
