index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
194,🇦🇲,Konstantin Smirnov,1,0,0,0,0,123.71n=1,66.54n=1,58.07n=1,66.64n=1,3.50n=10,2.92n=6,2.45n=1,3.14n=1,4.50n=2,4.43n=2,4.66n=2
195,🇳🇴,Daniil Valanov 242,1,0,0,0,0,122.32n=1,62.98n=1,54.35n=1,67.97n=1,3.86n=10,1.72n=6,2.53n=1,2.93n=1,4.60n=2,4.36n=2,4.68n=2
196,🇩🇰,Wendell Hansson-Östergaard,1,0,0,0,1,120.15n=1,59.73n=1,54.89n=1,65.26n=1,3.46n=13,1.92n=9,1.98n=2,3.21n=1,4.62n=2,4.37n=2,4.37n=2
197,🇪🇸,Daniel Rouco,1,0,0,0,0,119.68n=1,57.82n=1,51.74n=1,69.94n=1,3.22n=10,2.55n=6,1.44n=1,2.79n=1,4.68n=2,4.56n=2,4.70n=2
198,🇭🇺,Kolos Rác,1,0,0,0,1,118.47n=1,60.04n=1,52.70n=1,67.77n=1,2.59n=13,2.19n=9,2.71n=2,3.00n=1,4.46n=2,4.17n=2,4.45n=2
199,🇨🇿,Jan Valtera,1,0,0,0,0,118.18n=1,64.99n=1,52.92n=1,66.26n=1,3.38n=10,2.22n=6,2.41n=1,3.36n=1,4.38n=2,4.32n=2,4.54n=2
200,🇭🇺,Benedek Pál Dózsa,1,0,0,0,0,118.10n=1,58.93n=1,50.03n=1,69.07n=1,3.56n=10,1.64n=6,2.45n=1,2.07n=1,4.70n=2,4.50n=2,4.86n=2
201,🇷🇴,Razvan Cionac 206,2,0,0,0,0,113.40n=2,60.58n=2,49.70n=2,66.19n=2,3.05n=21,1.95n=12,2.82n=2,3.22n=2,4.48n=4,4.33n=4,4.40n=4
202,🇧🇷,Lucaz Filipe Trindade Candria,2,0,0,0,0,113.00n=2,62.52n=2,57.01n=2,55.99n=2,4.18n=20,2.00n=12,1.36n=2,1.89n=2,3.76n=4,3.70n=4,3.80n=4
203,🇵🇱,Ryszard Siudek,1,0,0,0,0,111.52n=1,66.56n=1,56.79n=1,55.73n=1,3.91n=10,2.17n=6,2.15n=1,2.50n=1,3.90n=2,3.59n=2,3.78n=2
204,🇱🇻,Ratmirs Bekisbajevs,1,0,0,0,0,110.73n=1,57.71n=1,49.50n=1,62.23n=1,3.33n=10,1.77n=6,2.64n=1,2.93n=1,4.18n=2,3.91n=2,4.22n=2
