index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
148,🇱🇻,Nikola Fomchenkova 167,1,0,0,0,0,132.23n=1,69.17n=1,69.34n=1,62.89n=1,4.74n=10,2.74n=6,2.67n=1,2.86n=1,5.14n=2,5.08n=2,5.43n=2
149,🇭🇺,Regina Schermann,0,2,0,0,0,132.20n=2,70.05n=2,67.47n=2,65.23n=2,4.06n=20,2.85n=12,3.33n=4,3.10n=2,5.38n=4,5.30n=4,5.58n=4
150,🇬🇧,Alice Smith 316,1,0,0,0,0,131.54n=1,80.71n=1,73.62n=1,58.92n=1,4.89n=10,2.96n=6,3.44n=1,3.50n=1,4.82n=2,4.86n=2,5.14n=2
151,🇺🇦,Taisiia Spesivtseva 260,0,1,0,0,0,131.19n=1,68.10n=1,63.97n=1,67.22n=1,4.17n=10,2.29n=6,2.65n=2,3.20n=1,5.52n=2,5.55n=2,5.60n=2
152,🇵🇱,Laura Szczesna 220,0,2,0,0,0,131.11n=2,64.88n=2,64.44n=2,67.67n=2,3.74n=20,2.97n=12,3.08n=4,3.05n=2,5.71n=4,5.54n=4,5.81n=4
153,🇫🇮,Lotta Artimo 196,2,0,0,0,0,130.76n=2,69.03n=2,66.94n=2,64.32n=2,4.16n=20,3.09n=12,3.20n=2,3.54n=2,5.32n=4,5.35n=4,5.46n=4
154,🇰🇷,Nayeong Yu 290,1,0,0,0,0,130.53n=1,77.56n=1,66.42n=1,68.11n=1,3.85n=10,3.44n=6,3.82n=1,3.50n=1,5.80n=2,5.56n=2,5.98n=2
155,🇨🇾,Varvara Abramkina 262,1,0,0,0,0,129.90n=1,75.91n=1,71.24n=1,59.66n=1,4.97n=10,2.68n=6,2.71n=1,2.79n=1,5.12n=2,4.91n=2,5.09n=2
156,🇫🇮,Oona Ounasvuori 104,0,3,0,0,0,129.29n=3,64.75n=3,62.12n=3,67.84n=3,3.55n=30,2.99n=18,2.61n=6,3.50n=3,5.68n=6,5.66n=6,5.71n=6
157,🇦🇹,Hannah Frank 229,1,0,0,0,0,128.61n=1,68.51n=1,66.78n=1,64.83n=1,4.15n=10,3.18n=6,2.86n=1,3.29n=1,5.34n=2,5.36n=2,5.50n=2
